Title,PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse,cleaned_positive,cleaned_negative,sentiment,polarity_positive,polarity_negative,visit_month,visit_year
Exceptional,"My second time here and true to say it was better than the first which was excellent..
The staff here are amazing beyond expectations..*****
Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁
Oh yeah the food is great to and very reasonable prices ..
Even the cleaning lady is so friendly and so nice to talk to .
The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.
The owners are also great it's like a real caring family set up ...
The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros 
I don't think I need to mention where I'll be staying next time I'm in Larnaka.. 😊
Brilliant guys ... 🙏🙏🙏",,10.0,J,Thailand,Double Room with Balcony,3 nights,2022-12-01,Family,Thank you so much for all your nice comments. It was our pleasure hosting you another time. Hope to see you again soon.,second time true say better first excel staff amaz beyond expect maria recept great realli took time explain go get help richard chef guy like friendliest guy ever nice guy perman smile oh yeah food great reason price even clean ladi friendli nice talk room spaciou clean great stay even got upgrad alway nice owner also great like real care famili set bu stop go airport well town center minut walk away euro dont think need mention ill stay next time im larnaka brilliant guy,,positive,0.4017543859649123,0.0,12,2022
"Easy to get to and park. Lovely hotel, great hosts",The staff were exceptional. So helpful and friendly. Went out of their way for us. The breakfast was lovely with room service too. Very clean and comfortable.,Couldn’t stay longer,10.0,Heidi,United Kingdom,Two-Bedroom Suite,1 night,2022-10-01,Family,,staff except help friendli went way u breakfast love room servic clean comfort,couldn’t stay longer,positive,0.43333333333333335,0.0,10,2022
Exceptional,"We stayed 1 week and enjoyed it very much. The rooms are lovely and new, very clean and comfortable. The mattress was to my taste. Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants. The staff are so welcoming, we felt like staying with family. We would definitely stay again on our next visit to Larnaca. Thank you so much for the great time we had with you.",,10.0,Ofira,United States of America,Two-Bedroom Suite,7 nights,2022-12-01,Couple,,stay week enjoy much room love new clean comfort mattress tast short drive airport well locat short walk promenad coffe shop restaur staff welcom felt like stay famili would definit stay next visit larnaca thank much great time,,positive,0.267003367003367,0.0,12,2022
Average hotel for a 1-2 nights stay at best.,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair. There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,"The receptionist didn't speak English properly, and you have a feeling that people are living in the hotel, rather than staying at a hotel. You can hear the airplanes coming and leaving from the airport all the time, so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",8.0,Damir,Bosnia and Herzegovina,Double Room,1 night,2022-11-01,Couple,,want hotel night close airport hotel purpos fair restaur bar next beach min walk distanc hotel,receptionist didnt speak english properli feel peopl live hotel rather stay hotel hear airplan come leav airport time sensit sound around night better skip hotel choos differ one,positive,0.35,0.2590909090909091,11,2022
"Friendly, family run hotel with excellent kitchen","Second visit - Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.
The staff make it - particularly reception and the dining room.","Nothing really, though for a stay for more than a few days - it is a bit on the edge of Larnaca - with frequent busses to the centre.",9.0,Thomas,United Kingdom,Double Room with Balcony,1 night,2022-12-01,Couple,,second visit chose realli reason close airport earli morn flight yet could stroll along nearbi beach staff make particularli recept dine room,noth realli though stay day bit edg larnaca frequent bu centr,positive,0.0,0.1,12,2022
Great hotel with great food!,"I liked the rooms- they are spacious, clean, the window view is nice too. The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",,10.0,Sorin,United Kingdom,Double Room with Balcony,7 nights,2022-11-01,Group,,like room spaciou clean window view nice restaur downstair amaz food tasti made lot care care lot detail oliv oil galor herb absolut delici,,positive,0.48333333333333334,0.0,11,2022
Clean and cozy hotel with very friendly owner close to sandy beach and the airport.,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.  Our room had a balcony with great view of the sea and surrounding area.,-,10.0,Miriam,Germany,Double Room with Balcony,1 night,2022-11-01,Couple,,owner staff except friendli support help wish room balconi great view sea surround area,,positive,0.8,0.0,11,2022
"Friendly, well run family hotel","A family run hotel, with extremely friendly reception and dining staff, very bright, nice seating areas inside and out. Meals well prepared and good value. Bus every 20 minutes to the centre of Larnaka.","Nothing, considering the price",9.0,Thomas,United Kingdom,Double Room with Balcony,1 night,2022-11-01,Couple,,famili run hotel extrem friendli recept dine staff bright nice seat area insid meal well prepar good valu bu everi minut centr larnaka,noth consid price,positive,0.6666666666666666,0.0,11,2022
Nice hotel close to the airport,Close to airport,,8.0,Antti,Finland,Double Room with Balcony,1 night,2022-10-01,Couple,,close airport,,positive,0.0,0.0,10,2022
Exceptional,"location, clean, friendly stuff",,10.0,Ward,Israel,Budget Twin Room,4 nights,2022-11-01,Solo traveler,,locat clean friendli stuff,,positive,0.3666666666666667,0.0,11,2022
Amazing place and amazing people in this hotel.  Highly recommended!,"The hotel is impressive how clean nice and comfortable it is, however what will bring me back is the staff and the owners.  Richard (the chef) is personally buying super fresh food for the restaurant.  Everything from breakfast to dinner is absolutely delicious. The owners have been super kind to me :)",,10.0,Carolina,Netherlands,Double Room with Balcony,4 nights,2022-11-01,Solo traveler,,hotel impress clean nice comfort howev bring back staff owner richard chef person buy super fresh food restaur everyth breakfast dinner absolut delici owner super kind,,positive,0.3619047619047619,0.0,11,2022
Would stay again for sure 😊,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean. Bed was really comfortable, lots of room for me to put my things... although might have needed another set of drawers if there were two of us.","Fridge could have been put on beforehand so it was cold, the shower took a while to get hot, had to have a cold shower one morning as i needed to get out early. When you left it running for around 5 mins it got warm and was a good shower.
Ordered pizza one night and was not great, too stodgy but I'm sure other food is better. The restaurant area is nice and the staff very accomodating.",9.0,Sonya,United Kingdom,Double Room with Balcony,2 nights,2022-11-01,Solo traveler,,room perfect look new clean shini tile floor bathroom tile everi inch perfect clean bed realli comfort lot room put thing although might need anoth set drawer two u,fridg could put beforehand cold shower took get hot cold shower one morn need get earli left run around min got warm good shower order pizza one night great stodgi im sure food better restaur area nice staff accomod,positive,0.573939393939394,0.275,11,2022
"Great stay, would recommend .",the beds were very comfortable,,9.0,Jacqueline,Italy,Two-Bedroom Suite,1 night,2022-11-01,Family,,bed comfort,,positive,0.0,0.0,11,2022
Exceptional,I loved the mattress!!!,,10.0,Sophia,Greece,Double Room,1 night,2022-11-01,Family,,love mattress,,positive,0.5,0.0,11,2022
Exceptional,Clean and quiet,,10.0,Judit,Hungary,Budget Twin Room,1 night,2022-11-01,Family,,clean quiet,,positive,0.18333333333333335,0.0,11,2022
Great stay,"The hotel is 5 minutes from the beach and the location is also near the lake.
The rooms are a good size and are laid out very well with a good size bathroom
The room also has a great sized balcony to take a tea/coffee and 
chill
There is a great restaurant inside where the food is good and not to pricey. 
The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing 
Keep up the great work 👍🏼🙏",Leaving..in fact just re booked the hotel for 2 weeks time 😁,10.0,J,Thailand,Double Room with Balcony,1 night,2022-11-01,Family,"Thank you very much for your nice words, we really appreciate your review. we are happy that you had a great stay at the hotel and happy to see you again on December :)",hotel minut beach locat also near lake room good size laid well good size bathroom room also great size balconi take teacoffe chill great restaur insid food good pricey staff super wonder realli friendli receptionist maria nice she amaz keep great work,leavingin fact book hotel week time,positive,0.6148148148148147,0.0,11,2022
thoroughly satisfied with our choice of hotel,"so comfortable, clean, friendly staff. perfect for overnight stay before flying from Larnaca Airport.",nothing.,10.0,Theresa,Cyprus,Double Room with Balcony,1 night,2022-11-01,Couple,,comfort clean friendli staff perfect overnight stay fli larnaca airport,noth,positive,0.6833333333333333,0.0,11,2022
Wonderful,Staff is very polite and caring. Thank you,Surrounding buildings are under construction and poorly lit.,9.0,Sisakyan,Armenia,Double Room,1 night,2022-11-01,Family,,staff polit care thank,surround build construct poorli lit,positive,0.0,0.0,11,2022
staff was wonderful. very accommodating and the food service and quality was very good. this was our second stay.,very clean functional rooms. lovely and very helpful staff.,I would have liked an ironing board in the room.,9.0,Paraskevou,United States of America,Double Room with Balcony,1 night,2022-11-01,Couple,,clean function room love help staff,would like iron board room,positive,0.43333333333333335,0.0,11,2022
A lovely hotel,Staff were lovely. Service was great.  The room was spotless. Great location for restaurants. Great location for a short drive to the airport.,Not applicable,10.0,Karen,United Kingdom,Double Room,1 night,2022-11-01,Couple,,staff love servic great room spotless great locat restaur great locat short drive airport,applic,positive,0.5800000000000001,0.0,11,2022
Nice vibe,"Clean, comfortable, friendly staff. Great restaurant beneath the hotel - food excellent & reasonably priced. Very close to Mackenzy beach & Larnaca airport. We would definitely stay there again",All good,10.0,Helen,United Kingdom,Double Room with Balcony,2 nights,2022-11-01,Couple,,clean comfort friendli staff great restaur beneath hotel food excel reason price close mackenzi beach larnaca airport would definit stay,good,positive,0.5833333333333334,0.7,11,2022
Exceptional,The bed was great. Rooms clean. Staff were so kind.,Nothing.,10.0,Christina,Canada,Double Room with Balcony,2 nights,2022-11-01,Solo traveler,,bed great room clean staff kind,noth,positive,0.5888888888888889,0.0,11,2022
Highly recommend these apartments.,"Very helpful staff, super clean room with modern furniture all together make your stay max comfortable. Sure worth it to come back again.
Option to have a good breakfast within the hotel save your time.
Highly recommend these apartments.",Little bit noisy during evening time from the street side. I believe it doesn't disturb you in case you choose the garden view apartments or just close the windows and start the air conditioning ),10.0,Vasyl,Ukraine,Double Room with Balcony,4 nights,2022-11-01,Solo traveler,,help staff super clean room modern furnitur togeth make stay max comfort sure worth come back option good breakfast within hotel save time highli recommend apart,littl bit noisi even time street side believ doesnt disturb case choos garden view apart close window start air condit,positive,0.34285714285714286,0.0,11,2022
group of 5 stayed for 2 night. room was spacious and the beds were comfortable. ideal location as close to the airport a,"welcoming 
value for money 
location",more hooks on walls for towels etc.,8.0,David,United Kingdom,Suite with Balcony,2 nights,2022-11-01,Group,,welcom valu money locat,hook wall towel etc,positive,0.0,0.0,11,2022
Very Good,,"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water.",8.0,G,Cyprus,Double Room,1 night,2022-11-01,Family,,,problem heat water time understand eventu couldnt manag proper shower hot water,positive,0.0,0.125,11,2022
"We were on 4 days stop over, if on main holiday would book a larger hotel","When we arrived, we were surprised at the location in a small side street, but it was only a 10-minute walk to the sea front. The receptionist on check in was very good and explained the information very clearly to us. The room was smaller than I expected but as we were only there a few days it was acceptable. I am very fussy about beds and pillows, but I had no problem as they were very clean, and the bed was really comfortable.
The chef was very polite, and his food was excellent, he had passion and it showed in his presentation. We may have missed it but there was no opening and closing times of the bar on display.",Nothing except not showing opening times.,8.0,Victoria,Cyprus,Budget Twin Room,4 nights,2022-10-01,Couple,,arriv surpris locat small side street minut walk sea front receptionist check good explain inform clearli u room smaller expect day accept fussi bed pillow problem clean bed realli comfort chef polit food excel passion show present may miss open close time bar display,noth except show open time,positive,0.1361111111111111,0.0,10,2022
Perfect if you are looking for somewhere close to Larnaca airport,"Really clean ,  lovely caring staff. food was good too!",Nothing really. The bus to the airport is close by and runs every 15 minutes.,9.0,Tim,United Kingdom,Double Room with Balcony,1 night,2022-11-01,Couple,,realli clean love care staff food good,noth realli bu airport close run everi minut,positive,0.5222222222222223,0.0,11,2022
perfect location prior to our early morning flight,great rooms - nice and cool,,10.0,Rebecca,United Kingdom,Two-Bedroom Suite,1 night,2022-11-01,Group,,great room nice cool,,positive,0.5833333333333334,0.0,11,2022
Very Good,It was really clean and spacious,,8.0,Aleksandr,Turkey,Two-Bedroom Suite,1 night,2022-10-01,Solo traveler,,realli clean spaciou,,positive,0.3666666666666667,0.0,10,2022
"The room was bijou but for the money, served it’s purpose adequately 😀","Nice location, not far from Airport and Mackenzie beach.","My only real observation was that there was no net curtain or blind so one needed to ensure that the curtain was closed, especially when going for a shower as the room is opposite some apartments that have a clear view into the room!",8.0,Paulo,Portugal,Double Room with Balcony,3 nights,2022-10-01,Solo traveler,,nice locat far airport mackenzi beach,real observ net curtain blind one need ensur curtain close especi go shower room opposit apart clear view room,positive,0.35,-0.05,10,2022
Lovely place to stay close to the beach,"Super friendly and helpful staff. A good location 5 lins away from the airport by car, 5 mins walk to the beach. Clean modern rooms, very nice breakfast.","It is typical of all restaurants in the area - the kitchen shuts at 22:30 or so, and there is no food to be had afterwards. I would just flag that ahead of time in the welcome email to those arriving from the UK (most early afternoon flights land after 23:00) and have something like nuts / chips available to buy on arrival.",9.0,Anastasia,United Kingdom,Double Room with Balcony,1 night,2022-10-01,Couple,,super friendli help staff good locat lin away airport car min walk beach clean modern room nice breakfast,typic restaur area kitchen shut food afterward would flag ahead time welcom email arriv uk earli afternoon flight land someth like nut chip avail buy arriv,positive,0.43999999999999995,0.0,10,2022
Exceptional,hospitality,clean,10.0,Joseph,Lebanon,Double Room with Balcony,5 nights,2022-10-01,Solo traveler,,hospit,clean,positive,0.0,0.3666666666666667,10,2022
Very Good,clean spacious practical,,8.0,Chahrazade,United Kingdom,Double Room,1 night,2022-10-01,Solo traveler,,clean spaciou practic,,positive,0.3666666666666667,0.0,10,2022
Very Good,"The facilities were really good, particularly for the tariff charged. Was met with a warm welcome at reception and then again by the dining staff.","Outside was a but noisy later in the evening, but that's not within the hotels control",8.0,Moyra,United Kingdom,Double Room with Balcony,1 night,2022-10-01,Solo traveler,,facil realli good particularli tariff charg met warm welcom recept dine staff,outsid noisi later even that within hotel control,positive,0.6499999999999999,0.0,10,2022
Freshly renovated and great,"Recently updated, everything was me and clean. Restaurant was a surprise hit: good food, very reasonably priced, so an easy choice to eat at the hotel when we wouldn't usually. The beach is about 5 minutes walk away.","There is a bit of plane noise in the afternoon and evening because it is right near the takeoff end of the runway, but next to no departures in the morning, so not a problem",10.0,James,Ireland,Two-Bedroom Suite,1 night,2022-10-01,Family,,recent updat everyth clean restaur surpris hit good food reason price easi choic eat hotel wouldnt usual beach minut walk away,bit plane nois afternoon even right near takeoff end runway next departur morn problem,positive,0.20416666666666666,0.12857142857142856,10,2022
Exceptional,Great value for money,,10.0,Ronen,Israel,Double Room with Balcony,1 night,2022-10-01,Couple,,great valu money,,positive,0.8,0.0,10,2022
Wonderful,very helpful staff who organised a taxi to collect us in the morning. Good value for money.,,9.0,Derek,United Kingdom,Double Room,1 night,2022-10-01,Group,,help staff organis taxi collect u morn good valu money,,positive,0.7,0.0,10,2022
Grear option near the airport,"Clean and comfortable rooms, lovely owner",,9.0,M,Switzerland,Two-Bedroom Suite,1 night,2022-10-01,Family,,clean comfort room love owner,,positive,0.43333333333333335,0.0,10,2022
Great location close to airport and sea,Great location close to the airport and a short walk to the sea. Great value for money. The 2 rooms were big enough for a family of 5.,,9.0,Yafit,Israel,Two-Bedroom Suite,1 night,2022-10-01,Family,,great locat close airport short walk sea great valu money room big enough famili,,positive,0.32,0.0,10,2022
Exceptional,Great little hotel close to airport,Not very Soundproof,10.0,Sneaky,Cyprus,Double Room,1 night,2022-10-01,Family,,great littl hotel close airport,soundproof,positive,0.8,0.0,10,2022
very good,"Near airport, nice clean room, very well kept. staff very helpful and friendly. good food",,10.0,Mauricio,United States of America,Two-Bedroom Suite,1 night,2022-10-01,Group,,near airport nice clean room well kept staff help friendli good food,,positive,0.44166666666666665,0.0,10,2022
Exceptional,Everything was good❤❤❤❤,Nothing,10.0,Hamidreza,Austria,Double Room with Balcony,1 night,2022-10-01,Family,,everyth good,noth,positive,0.7,0.0,10,2022
Exceptional,"nice, renovated hotel, close to the airport and Mackenzie Beach, delicious breakfasts in the hotel restaurant, comfortable bed",,10.0,Karina,Poland,Double Room,2 nights,2022-10-01,Solo traveler,,nice renov hotel close airport mackenzi beach delici breakfast hotel restaur comfort bed,,positive,0.6,0.0,10,2022
Exceptional,Very nice and clean room.,,10.0,Nikos,Cyprus,Double Room with Balcony,1 night,2022-10-01,Family,,nice clean room,,positive,0.48333333333333334,0.0,10,2022
Good for 1 night,Good for airport transfers,A lot of mosquitos,9.0,Kateryna,Cyprus,Double Room with Balcony,1 night,2022-09-01,Couple,,good airport transfer,lot mosquito,positive,0.7,0.0,9,2022
Exceptional,"Perfect place to stay for early morning / late night flights as it’s situated within 5 minutes from the airport. 
beds are extremely comfortable and amazing hospitality from the staff.","given that a lot of guests book here for its prime location near the airport, it would’ve been great if breakfast started at 7 rather than 8. but that’s just a suggestion, everything was perfect
for one nights stay.",10.0,Ahmed,Belgium,Double Room with Balcony,1 night,2022-10-01,Solo traveler,,perfect place stay earli morn late night flight it’ situat within minut airport bed extrem comfort amaz hospit staff,given lot guest book prime locat near airport would’v great breakfast start rather that’ suggest everyth perfect one night stay,positive,0.35,0.6333333333333333,10,2022
"Comfortable, clean, friendly place","Very clean, very comfortable room. Staff was extremely helpful. They ordered a taxi for us to get to the airport very early in the morning. We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from. We will definitely stay here again when we come back to Larnaca.",,10.0,Samuel,United States of America,Double Room with Balcony,1 night,2022-10-01,Couple,,clean comfort room staff extrem help order taxi u get airport earli morn abl enjoy nice short walk beach mani restaur avail choos definit stay come back larnaca,,positive,0.2733333333333333,0.0,10,2022
Very Good,"Close to the airport, the staff were nice and helpful.",The room wasn't soundproof so you can hear the planes.,8.0,Itay,Israel,Double Room with Balcony,1 night,2022-10-01,Family,,close airport staff nice help,room wasnt soundproof hear plane,positive,0.6,0.0,10,2022
Very nice and good value for money,Close to airport so very convenient for overnight stay. Also very easy to check-in if you arrive late at night,N/a,8.0,Edward,United Kingdom,Two-Bedroom Suite,1 night,2022-10-01,Family,,close airport conveni overnight stay also easi checkin arriv late night,na,positive,-0.3,0.0,10,2022
Lovely hotel,Arrived in the early hours clear instructions left access to our room made easy 😊,,10.0,Clare,United Kingdom,Double Room with Balcony,1 night,2022-09-01,Family,,arriv earli hour clear instruct left access room made easi,,positive,0.049999999999999996,0.0,9,2022
excellent arrangements made to cope with midnight arrival,Excellent range of food offered and good service.,no issues for overnight stay,8.0,Stuart,United Kingdom,Double Room,1 night,2022-10-01,Couple,,excel rang food offer good servic,issu overnight stay,positive,0.7,0.0,10,2022
Convenient  night near airport,"Comfortable location near the airport, and near the beach.
Caring and helpful host.
Restaurant on site
Comfortable beds, the best linen and duvets I had
 in my entire 10 day trip.
In room mini bar+ tea/ coffee 
Clean modern bathroom.
Good AC.","We liked La Veranda
Our son had a folding bed which could have been better, especially considering how comfortable the regular beds were.",9.0,Lydia,Israel,Standard Triple Room,1 night,2022-10-01,Family,,comfort locat near airport near beach care help host restaur site comfort bed best linen duvet entir day trip room mini bar tea coffe clean modern bathroom good ac,like la veranda son fold bed could better especi consid comfort regular bed,positive,0.41111111111111115,0.25,10,2022
Was by far too short.I’ll be back in February. Please don’t change anything in the meantime!,It’s been renovated to a exceptionally high standard and it really is well up to 4* standard. Exceptional value .,I cannot find a single negative point…which is unusual. Having spent 45 years travelling as part of work I am perhaps over critical.,10.0,Philip,United Arab Emirates,Budget Twin Room,2 nights,2022-10-01,Solo traveler,,it’ renov except high standard realli well standard except valu,cannot find singl neg point…which unusu spent year travel part work perhap critic,positive,0.05333333333333334,-0.1,10,2022
Cosy new hotel near the airport,"We were looking for the hotel close to the airport, and it was a perfect match. The hotel is located in a close proximity to the airport (5 min by car or 10 min by bus). We arrived late and were super hungry, so we decided to eat in the place at the ground floor. Even though the kitchen was closing, they made us a pizza which was really nice. The room was new and clean, the staff reached out in advance and provided us with the detailed instructions of how to get to the room when reception closes.","If you are looking for a quiet stay, you should be aware that the hotel is really close to the airport, so you can hear all the noise from the planes.",10.0,Nataliya,Israel,Double Room,1 night,2022-10-01,Couple,,look hotel close airport perfect match hotel locat close proxim airport min car min bu arriv late super hungri decid eat place ground floor even though kitchen close made u pizza realli nice room new clean staff reach advanc provid u detail instruct get room recept close,look quiet stay awar hotel realli close airport hear nois plane,positive,0.356060606060606,0.0,10,2022
would definitely be staying here again. planning more trips to Cyprus and this is among our first choices of stay,"The property was clean, bed was comfortable and the food and staff were really good. Location was great and easy to get to and from.",n/A,10.0,Joshua,United Kingdom,Double Room with Balcony,9 nights,2022-10-01,Couple,,properti clean bed comfort food staff realli good locat great easi get,na,positive,0.6222222222222222,0.0,10,2022
Le Veranda a welcome rest and refresh,"The location was perfect for the airport as we were flying out to uk. The entrance to the hotel is welcoming and the bar and coffee shop chic.
The gentleman  in reception was very friendly and had a lovely smile. 
The place was spotless and very comfortable. 
I would definitely recommend it and will be staying here again.
The fish and steak restaurant around the corner was also great value and friendly.",,9.0,Oonagh,Cyprus,Double Room,1 night,2022-10-01,Couple,,locat perfect airport fli uk entranc hotel welcom bar coffe shop chic gentleman recept friendli love smile place spotless comfort would definit recommend stay fish steak restaur around corner also great valu friendli,,positive,0.65,0.0,10,2022
amazing,friendly staff,nothing so far,8.0,Chouity,Qatar,Budget Twin Room,2 nights,2022-10-01,Solo traveler,,friendli staff,noth far,positive,0.0,0.1,10,2022
Exceptional,"Friendly, good value, clean",,10.0,Julie,United Kingdom,Double Room,1 night,2022-10-01,Solo traveler,,friendli good valu clean,,positive,0.5333333333333333,0.0,10,2022
Exceptional,"The place and the people are lovely, I couldn't ask for more during my stay especially with such a price.",,10.0,Ynaiim,Lebanon,Double Room with Balcony,1 night,2022-09-01,Couple,,place peopl love couldnt ask stay especi price,,positive,0.5,0.0,9,2022
Holiday,Peaceful and clean friendly helpful staff,Nothing,10.0,Sally,United Kingdom,Double Room with Balcony,3 nights,2022-10-01,Family,,peac clean friendli help staff,noth,positive,0.3666666666666667,0.0,10,2022
direct bus access to the airport,"We arrived after midnight. Got very clear instructions how to get access to our room. The staff of the hotel is extremely friendly and nice.
The bus stop with direct access to the airport is a few steps from the accommodation. the airport can be reached in a few minutes. at the same time, Mackenzie beach is also easily accessible on foot.","there is no shop or pharmacy in the area, but the accommodation cannot do anything about this. overall, we are extremely satisfied.",10.0,Voko,Hungary,Double Room,2 nights,2022-09-01,Couple,,arriv midnight got clear instruct get access room staff hotel extrem friendli nice bu stop direct access airport step accommod airport reach minut time mackenzi beach also easili access foot,shop pharmaci area accommod cannot anyth overal extrem satisfi,positive,0.26666666666666666,0.0,9,2022
Wonderful,I arrived late. I received very clear instructions how to enter the hotel and access my room.,,9.0,Michael,Lebanon,Double Room,1 night,2022-10-01,Solo traveler,,arriv late receiv clear instruct enter hotel access room,,positive,-0.1,0.0,10,2022
Exceptional,Lovely staff doing best to assist always. wonderful room.,,10.0,Mads,Denmark,Double Room with Balcony,1 night,2022-09-01,Solo traveler,,love staff best assist alway wonder room,,positive,0.75,0.0,9,2022
Excellent stay,"The hotel is based on a quiet place near to the airport, beach and the Salt Lake in the city. The location is excellent, as there are lots of parking places around, as well. Regarding the rooms - very clean and cozy ones, with comfortable beds. Furthermore, there is a restaurant in the hotel with delicious food. The staff of the hotel is extremely friendly and nice.",-,10.0,Yoana,Bulgaria,Double Room,1 night,2022-09-01,Couple,,hotel base quiet place near airport beach salt lake citi locat excel lot park place around well regard room clean cozi one comfort bed furthermor restaur hotel delici food staff hotel extrem friendli nice,,positive,0.05333333333333332,0.0,9,2022
Very Good,,Disappointed we didn't have a balcony,8.0,Juan,Cyprus,Double Room,1 night,2022-10-01,Couple,Thank you for your comment.  we have options of rooms with and without balcony. You choose the room without balcony in your reservation and we provided you the appropriate room accordingly.,,disappoint didnt balconi,positive,0.0,0.0,10,2022
"Nice, clean hotel, efficient and respectful staff",Feels new and clean with perfect location nearby the beach 🏖,,10.0,Marwan,Jordan,Double Room with Balcony,1 night,2022-10-01,Solo traveler,,feel new clean perfect locat nearbi beach,,positive,0.501010101010101,0.0,10,2022
Exceptional,The staff is very VERY helpful and eager to assist. All went amazing!,we’d love to stay longer 🥲,10.0,Hanna,Belarus,Double Room with Balcony,3 nights,2022-10-01,Solo traveler,,staff help eager assist went amaz,we’d love stay longer,positive,0.0,0.5,10,2022
perfect,"Nice friendly staff. clean, nice room, big bathroom",nothing,10.0,Kevin,United Kingdom,Standard Triple Room,1 night,2022-10-01,Family,,nice friendli staff clean nice room big bathroom,noth,positive,0.39166666666666666,0.0,10,2022
Exceptional,New clean setup with friendly helpful staff,All good,10.0,Omid,United Arab Emirates,Double Room with Balcony,4 nights,2022-10-01,Family,,new clean setup friendli help staff,good,positive,0.2515151515151515,0.7,10,2022
High quality/price ratio.,"It is a new hotel. Everything was clean. 
We had dinner. It was delicious and inexpensive. 
Mc Kenzie Beach within walking distance.",,9.0,S,Netherlands,Budget Twin Room,1 night,2022-09-01,Couple,,new hotel everyth clean dinner delici inexpens mc kenzi beach within walk distanc,,positive,0.2515151515151515,0.0,9,2022
