cleaned_positive,polarity_positive,sentiment,Score,GuestCountry,RoomType,GroupType,visit_month,visit_year
room perfect look new clean shini tile floor bathroom tile everi inch perfect clean bed realli comfort lot room put thing although might need anoth set drawer two u,0.573939393939394,positive,9.0,United Kingdom,Double Room with Balcony,Solo traveler,11,2022
bed comfort,0.0,positive,9.0,Italy,Two-Bedroom Suite,Family,11,2022
love mattress,0.5,positive,10.0,Greece,Double Room,Family,11,2022
clean quiet,0.18333333333333335,positive,10.0,Hungary,Budget Twin Room,Family,11,2022
hotel minut beach locat also near lake room good size laid well good size bathroom room also great size balconi take teacoffe chill great restaur insid food good pricey staff super wonder realli friendli receptionist maria nice she amaz keep great work,0.6148148148148147,positive,10.0,Thailand,Double Room with Balcony,Family,11,2022
comfort clean friendli staff perfect overnight stay fli larnaca airport,0.6833333333333333,positive,10.0,Cyprus,Double Room with Balcony,Couple,11,2022
staff polit care thank,0.0,positive,9.0,Armenia,Double Room,Family,11,2022
clean function room love help staff,0.43333333333333335,positive,9.0,United States of America,Double Room with Balcony,Couple,11,2022
staff love servic great room spotless great locat restaur great locat short drive airport,0.5800000000000001,positive,10.0,United Kingdom,Double Room,Couple,11,2022
clean comfort friendli staff great restaur beneath hotel food excel reason price close mackenzi beach larnaca airport would definit stay,0.5833333333333334,positive,10.0,United Kingdom,Double Room with Balcony,Couple,11,2022
bed great room clean staff kind,0.5888888888888889,positive,10.0,Canada,Double Room with Balcony,Solo traveler,11,2022
help staff super clean room modern furnitur togeth make stay max comfort sure worth come back option good breakfast within hotel save time highli recommend apart,0.34285714285714286,positive,10.0,Ukraine,Double Room with Balcony,Solo traveler,11,2022
welcom valu money locat,0.0,positive,8.0,United Kingdom,Suite with Balcony,Group,11,2022
,0.0,positive,8.0,Cyprus,Double Room,Family,11,2022
arriv surpris locat small side street minut walk sea front receptionist check good explain inform clearli u room smaller expect day accept fussi bed pillow problem clean bed realli comfort chef polit food excel passion show present may miss open close time bar display,0.1361111111111111,positive,8.0,Cyprus,Budget Twin Room,Couple,10,2022
realli clean love care staff food good,0.5222222222222223,positive,9.0,United Kingdom,Double Room with Balcony,Couple,11,2022
great room nice cool,0.5833333333333334,positive,10.0,United Kingdom,Two-Bedroom Suite,Group,11,2022
realli clean spaciou,0.3666666666666667,positive,8.0,Turkey,Two-Bedroom Suite,Solo traveler,10,2022
nice locat far airport mackenzi beach,0.35,positive,8.0,Portugal,Double Room with Balcony,Solo traveler,10,2022
super friendli help staff good locat lin away airport car min walk beach clean modern room nice breakfast,0.43999999999999995,positive,9.0,United Kingdom,Double Room with Balcony,Couple,10,2022
hospit,0.0,positive,10.0,Lebanon,Double Room with Balcony,Solo traveler,10,2022
clean spaciou practic,0.3666666666666667,positive,8.0,United Kingdom,Double Room,Solo traveler,10,2022
facil realli good particularli tariff charg met warm welcom recept dine staff,0.6499999999999999,positive,8.0,United Kingdom,Double Room with Balcony,Solo traveler,10,2022
recent updat everyth clean restaur surpris hit good food reason price easi choic eat hotel wouldnt usual beach minut walk away,0.20416666666666666,positive,10.0,Ireland,Two-Bedroom Suite,Family,10,2022
great valu money,0.8,positive,10.0,Israel,Double Room with Balcony,Couple,10,2022
help staff organis taxi collect u morn good valu money,0.7,positive,9.0,United Kingdom,Double Room,Group,10,2022
clean comfort room love owner,0.43333333333333335,positive,9.0,Switzerland,Two-Bedroom Suite,Family,10,2022
great locat close airport short walk sea great valu money room big enough famili,0.32,positive,9.0,Israel,Two-Bedroom Suite,Family,10,2022
great littl hotel close airport,0.8,positive,10.0,Cyprus,Double Room,Family,10,2022
near airport nice clean room well kept staff help friendli good food,0.44166666666666665,positive,10.0,United States of America,Two-Bedroom Suite,Group,10,2022
everyth good,0.7,positive,10.0,Austria,Double Room with Balcony,Family,10,2022
nice renov hotel close airport mackenzi beach delici breakfast hotel restaur comfort bed,0.6,positive,10.0,Poland,Double Room,Solo traveler,10,2022
nice clean room,0.48333333333333334,positive,10.0,Cyprus,Double Room with Balcony,Family,10,2022
good airport transfer,0.7,positive,9.0,Cyprus,Double Room with Balcony,Couple,9,2022
perfect place stay earli morn late night flight it’ situat within minut airport bed extrem comfort amaz hospit staff,0.35,positive,10.0,Belgium,Double Room with Balcony,Solo traveler,10,2022
clean comfort room staff extrem help order taxi u get airport earli morn abl enjoy nice short walk beach mani restaur avail choos definit stay come back larnaca,0.2733333333333333,positive,10.0,United States of America,Double Room with Balcony,Couple,10,2022
close airport staff nice help,0.6,positive,8.0,Israel,Double Room with Balcony,Family,10,2022
close airport conveni overnight stay also easi checkin arriv late night,-0.3,positive,8.0,United Kingdom,Two-Bedroom Suite,Family,10,2022
arriv earli hour clear instruct left access room made easi,0.049999999999999996,positive,10.0,United Kingdom,Double Room with Balcony,Family,9,2022
excel rang food offer good servic,0.7,positive,8.0,United Kingdom,Double Room,Couple,10,2022
comfort locat near airport near beach care help host restaur site comfort bed best linen duvet entir day trip room mini bar tea coffe clean modern bathroom good ac,0.41111111111111115,positive,9.0,Israel,Standard Triple Room,Family,10,2022
it’ renov except high standard realli well standard except valu,0.05333333333333334,positive,10.0,United Arab Emirates,Budget Twin Room,Solo traveler,10,2022
look hotel close airport perfect match hotel locat close proxim airport min car min bu arriv late super hungri decid eat place ground floor even though kitchen close made u pizza realli nice room new clean staff reach advanc provid u detail instruct get room recept close,0.356060606060606,positive,10.0,Israel,Double Room,Couple,10,2022
properti clean bed comfort food staff realli good locat great easi get,0.6222222222222222,positive,10.0,United Kingdom,Double Room with Balcony,Couple,10,2022
locat perfect airport fli uk entranc hotel welcom bar coffe shop chic gentleman recept friendli love smile place spotless comfort would definit recommend stay fish steak restaur around corner also great valu friendli,0.65,positive,9.0,Cyprus,Double Room,Couple,10,2022
friendli staff,0.0,positive,8.0,Qatar,Budget Twin Room,Solo traveler,10,2022
friendli good valu clean,0.5333333333333333,positive,10.0,United Kingdom,Double Room,Solo traveler,10,2022
place peopl love couldnt ask stay especi price,0.5,positive,10.0,Lebanon,Double Room with Balcony,Couple,9,2022
peac clean friendli help staff,0.3666666666666667,positive,10.0,United Kingdom,Double Room with Balcony,Family,10,2022
arriv midnight got clear instruct get access room staff hotel extrem friendli nice bu stop direct access airport step accommod airport reach minut time mackenzi beach also easili access foot,0.26666666666666666,positive,10.0,Hungary,Double Room,Couple,9,2022
arriv late receiv clear instruct enter hotel access room,-0.1,positive,9.0,Lebanon,Double Room,Solo traveler,10,2022
love staff best assist alway wonder room,0.75,positive,10.0,Denmark,Double Room with Balcony,Solo traveler,9,2022
hotel base quiet place near airport beach salt lake citi locat excel lot park place around well regard room clean cozi one comfort bed furthermor restaur hotel delici food staff hotel extrem friendli nice,0.05333333333333332,positive,10.0,Bulgaria,Double Room,Couple,9,2022
,0.0,positive,8.0,Cyprus,Double Room,Couple,10,2022
feel new clean perfect locat nearbi beach,0.501010101010101,positive,10.0,Jordan,Double Room with Balcony,Solo traveler,10,2022
staff help eager assist went amaz,0.0,positive,10.0,Belarus,Double Room with Balcony,Solo traveler,10,2022
nice friendli staff clean nice room big bathroom,0.39166666666666666,positive,10.0,United Kingdom,Standard Triple Room,Family,10,2022
new clean setup friendli help staff,0.2515151515151515,positive,10.0,United Arab Emirates,Double Room with Balcony,Family,10,2022
new hotel everyth clean dinner delici inexpens mc kenzi beach within walk distanc,0.2515151515151515,positive,9.0,Netherlands,Budget Twin Room,Couple,9,2022
close airport clean spaciou room,0.3666666666666667,positive,8.0,United Kingdom,Two-Bedroom Suite,Group,9,2022
amaz staff super clean modern great locat,0.425,positive,10.0,United States of America,Double Room with Balcony,Couple,9,2022
stuff nice friendli room clean comfort,0.48333333333333334,positive,9.0,Armenia,Double Room,Couple,9,2022
breakfast good plenti select good staff serv valu custom polit care time could seem enough guest everi thing spotless clean breakfast room,0.44166666666666665,positive,10.0,United Kingdom,Double Room with Balcony,Solo traveler,9,2022
good food restaur downstair friendli personnel,0.7,positive,8.0,Slovakia,Double Room with Balcony,Family,8,2022
,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Couple,9,2022
super friendli staff nice restaur,0.4666666666666667,positive,10.0,United Kingdom,Double Room,Solo traveler,9,2022
clean comfort littl hotel love friendli staff good locat easili reach airport,0.5222222222222223,positive,9.6,United Kingdom,Double Room with Balcony,Solo traveler,9,2022
horribl am arriv instruct access sent advanc absolut perfect clean comfort bed within minut arriv,0.6833333333333333,positive,10.0,United Kingdom,Budget Twin Room,Family,9,2022
positionstaff clean,0.3666666666666667,positive,10.0,United Kingdom,Budget Twin Room,Couple,9,2022
close larnaca airport nice room clean help friendli staff,0.48333333333333334,positive,10.0,United Kingdom,Double Room with Balcony,Couple,9,2022
late night check super easi comfort,0.016666666666666663,positive,8.0,Germany,Budget Twin Room,Couple,9,2022
new room comfort nice restaur build welcom nice offer bu stop airport walkabl francai parlé parfait,0.4454545454545455,positive,8.0,France,Double Room with Balcony,Family,9,2022
best hotel mackenzi amaz staff modern facil tasti food super servic restaur hotel,0.5111111111111111,positive,10.0,Russia,Double Room with Balcony,Solo traveler,6,2022
clean quiet perfect locat airport,0.45555555555555555,positive,9.0,United Kingdom,Double Room with Balcony,Couple,9,2022
staff nice room comfort,0.6,positive,9.0,Israel,Double Room with Balcony,Couple,9,2022
food excel servic excel go back,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Couple,9,2022
use hotel one night close airport must admit locat offer nice place least twonight stay sure nearbi beach mackenzi nice long cool fanci bar also salt lake wish visit didnt time hotel nice spaciou clean modern thing didnt like blanket thick incred hot hot hot weather,0.25512820512820517,positive,9.0,Czech Republic,Budget Twin Room,Solo traveler,9,2022
clean staff wonder,0.3666666666666667,positive,8.0,Italy,Double Room with Balcony,Couple,9,2022
realli clean except staff incred polit highli recommend,0.3666666666666667,positive,10.0,Bulgaria,Double Room with Balcony,Couple,9,2022
staff hospit help,0.0,positive,9.0,United Kingdom,Double Room,Group,8,2022
nice modern clean room locat excel close airport makenzi beach tourist area bu stop go airport town meter away friendli staff highli recommend,0.3888888888888889,positive,10.0,Lebanon,Double Room,Couple,9,2022
room recent refurbish spatiou nice view salt lake terrac sink toilett separ door insid bathroom,0.3,positive,8.0,Italy,Suite with Balcony,Group,8,2022
quiet place good room,0.35,positive,10.0,Ukraine,Double Room with Balcony,Family,9,2022
stay night super happi stay la veranda hotel staff super nice room clean bathroom spaciou,0.4083333333333333,positive,10.0,Serbia,Double Room,Couple,9,2022
use accommod one night departur advantag proxim airport—veri comfort bed,0.0,positive,9.0,Czech Republic,Two-Bedroom Suite,Family,9,2022
room larg newli redecor contemporari style bed comfort conveni airport breakfast excel,0.0,positive,9.0,Cyprus,Double Room with Balcony,Couple,9,2022
everyth,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Couple,9,2022
clean hotel love room comfort bed great locat overnight stay late flight help staff,0.3416666666666667,positive,10.0,United Kingdom,Double Room with Balcony,Family,9,2022
went transit larnaca build complet refurbish confort self check easi,0.0,positive,10.0,Lebanon,Double Room,Solo traveler,9,2022
spotlessli clean excel airport mackenzi beach,0.3666666666666667,positive,8.0,Cyprus,Double Room,Couple,9,2022
recent refurbish,0.0,positive,9.0,United Kingdom,Double Room,Couple,8,2022
everyth good staff polit help room clean breakfast delici hotel near beach airport bu station,0.3888888888888889,positive,10.0,Serbia,Double Room,Family,8,2022
realli enjoy place didnt pool minut airport taxi shuttl bu also connect bu ayia napa hotel via larnaca use earli morn start larnaca airport mckenzi beach close food restaur opposit beach ten minut walk air con fridg room bottl water provid perfect short stay hotel immacul clean particularli impress staff email via bookingcom ask time arriv hotel man arrang made collect room key hotel arriv outsid normal hour told bu rout need take impress howev anyth longer night stay may get littl bore highli recommend,0.2738095238095238,positive,9.0,United Kingdom,Two-Bedroom Suite,Family,9,2022
stuff hotel help nice stay la veranda perfect mackenzi beach minut airport near best locat larnaca,0.675,positive,10.0,Serbia,Double Room,Solo traveler,9,2022
clean air condit close airport,0.3666666666666667,positive,10.0,Austria,Standard Triple Room,Family,8,2022
locat next airport great flight earli morn take minut get airport beach minut walk away,0.4,positive,8.0,Austria,Double Room,Couple,8,2022
locat near airport beach front desk absolut perfect hotel restaur delici room perfect noth say,0.7000000000000001,positive,10.0,Israel,Double Room with Balcony,Couple,8,2022
room clean comfort everyth need includ fridg kettl shower great air con work well great locat airport beach made la veranda stand fantast servic couldnt friendlier kinder help made massiv differ abl accommod specif need extrem grate,0.6555555555555556,positive,10.0,United Kingdom,Double Room,Solo traveler,7,2022
help staff close airport,0.0,positive,9.0,United States of America,Budget Twin Room,Group,8,2022
super clean decent size room new room flat tv touch button clean etc gener noth old,0.2063852813852814,positive,8.0,Cyprus,Double Room with Balcony,Couple,8,2022
clean super friendli staff would recommend,0.35,positive,10.0,United Kingdom,Double Room with Balcony,Couple,8,2022
nice simpl hotel conveni locat close airport front desk friendli help,0.6,positive,9.0,Israel,Two-Bedroom Suite,Family,8,2022
friendli staff,0.0,positive,10.0,Lebanon,Double Room with Balcony,Couple,8,2022
best star hotel ever clean hospit super comfi close one best beach larnaca region perfectli connect public transport larnaca citi centr quit reason price,0.54,positive,10.0,Serbia,Double Room with Balcony,Family,8,2022
food tasti didnt breakfast ate dinner restaur staff help friendli nice bathroom room well equip also smell nice,0.6,positive,9.0,Belgium,Double Room with Balcony,Solo traveler,8,2022
clean modern,0.2833333333333333,positive,10.0,United Kingdom,Double Room with Balcony,Group,8,2022
clean comfort close airport,0.3666666666666667,positive,10.0,Lebanon,Double Room,Solo traveler,8,2022
guy recept kind help room bathroom good size clean bed comfort want someth close makenzi plan night place perfect,0.6666666666666666,positive,10.0,Cyprus,Double Room,Couple,8,2022
hotel allow stay anim,0.0,positive,9.0,Cyprus,Double Room with Balcony,Solo traveler,8,2022
room clean use air condition great hot day outsid staff nice,0.5041666666666667,positive,9.0,Romania,Double Room with Balcony,Couple,8,2022
breakfast prepar richard delici freshli prepar well mani choic cypru english breakfast friendli help host impecc servic comfort bed pleasant relax stay larnaca,0.3666666666666667,positive,10.0,Netherlands,Double Room with Balcony,Solo traveler,8,2022
took suit adult kid room clean bed comfort hotel swim pool would perfect ladi recept maria help good valu money,0.5416666666666667,positive,9.0,Israel,Two-Bedroom Suite,Family,8,2022
la veranda love cleangreat friendli staff great chefbrilli locat beach bar,0.65,positive,10.0,United Kingdom,Double Room with Balcony,Couple,8,2022
modern clean accommod good food great staff richard star,0.5166666666666666,positive,10.0,United Kingdom,Two-Bedroom Suite,Family,8,2022
expect beauti hotel cheap price disgust outsid clean beauti insid,0.38333333333333336,positive,10.0,Israel,Family Suite with Balcony,Family,8,2022
room clean bed comfort friendli staff great locat,0.5833333333333334,positive,9.0,Romania,Double Room,Couple,8,2022
great local help kind personel clean room bathroom recommend place lot star,0.44166666666666665,positive,10.0,Poland,Double Room,Solo traveler,8,2022
proxim airport nice restaur hotel extern balconi,0.6,positive,8.0,Cyprus,Two-Bedroom Suite,Solo traveler,8,2022
clean comfi bed close airport easi self checkin great breakfast,0.5833333333333334,positive,10.0,Russia,Double Room,Family,8,2022
everyth felt like home home fantast hotel wonder staff except,0.0,positive,10.0,United Kingdom,Two-Bedroom Suite,Family,8,2022
conveni friendli staff near mackenzi beach,0.1,positive,9.0,France,Standard Triple Room,Group,8,2022
perfect overnight stay close airport,1.0,positive,10.0,United Kingdom,Two-Bedroom Suite,Group,8,2022
nice clean,0.48333333333333334,positive,9.0,Israel,Suite with Balcony,Family,8,2022
stay night beauti littl hotel extraordinari close airport also min walk makenzi blue flag beach room super clean everyth new cosi bathroom spaciou cabin shower bed pillow comfi staff super super friendli made everyth possibl stay perfect rich breakfast variou local food also ate dinner coupl time terrac everyth tasti absolut noth complain dreami vacat sure come back thank perfect stay,0.3648358585858586,positive,10.0,Romania,Double Room with Balcony,Couple,8,2022
staff incred friendli nice hotel good room clean smart comfort it’ staff make hotel,0.4702380952380952,positive,10.0,United Kingdom,Double Room with Balcony,Couple,8,2022
amaz staff,0.0,positive,10.0,United States of America,Standard Triple Room,Family,5,2022
close airport comfort bed,0.0,positive,10.0,Venezuela,Standard Triple Room,Family,6,2022
great place night flight friendli staff let u room soon readi everyth super clean modern comfort great pricearrang airport taxi am,0.5,positive,10.0,United Kingdom,Double Room with Balcony,Couple,8,2022
everyth new beauti clean,0.2515151515151515,positive,10.0,Israel,Double Room,Couple,8,2022
perfect stay thank,1.0,positive,10.0,United Kingdom,Standard Triple Room,Family,7,2022
close bar near sea close airport clean room,0.23333333333333334,positive,9.0,Israel,Double Room,Group,7,2022
close airport late flight love friendli staff check u quickli beauti spotless room realli comfort night sleep air condit room great shower beauti fresh breakfast reason price also store luggag call taxi u,0.325,positive,10.0,United Kingdom,Two-Bedroom Suite,Family,7,2022
love staff good food,0.6,positive,8.0,Spain,Double Room with Balcony,Solo traveler,7,2022
exactli look comfort nice clean hotel near airport facil wonder brand new full equip realli enjoy dinner restaur everyth freshmad prepar cheff nice shower bed excel valu money,0.3647186147186147,positive,10.0,Spain,Double Room with Balcony,Family,7,2022
need place stay near airport hour catch plane great comfi air condit clean good valu money,0.49166666666666664,positive,10.0,Lebanon,Double Room with Balcony,Solo traveler,7,2022
minut walk beach modern new room clean,0.23434343434343438,positive,10.0,Slovenia,Standard Triple Room,Family,7,2022
fantast locat airport beach easi check am staff great hotel clean servic fantast breakfast amaz thank,0.5833333333333334,positive,10.0,Australia,Double Room,Solo traveler,7,2022
clean room friendli staff great locat close airport,0.5833333333333334,positive,9.0,Sweden,Double Room,Couple,7,2022
perfect hotel,1.0,positive,10.0,New Zealand,Double Room with Balcony,Solo traveler,7,2022
staff clean price check time,0.3666666666666667,positive,10.0,Cyprus,Double Room with Balcony,Couple,7,2022
hotel amaz except friendli stuff breakfast realli delici,0.0,positive,9.0,Germany,Double Room,Solo traveler,6,2022
easi late night check,-0.3,positive,10.0,United Kingdom,Double Room with Balcony,Couple,7,2022
staff accommod friendli realli well run famili establish couldnt perfect stay,1.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,7,2022
clean modern friendli staff,0.2833333333333333,positive,10.0,Kuwait,Two-Bedroom Suite,Family,7,2022
clean home,0.3666666666666667,positive,10.0,Cyprus,Two-Bedroom Suite,Group,7,2022
super clean place excel staff servic top everyth food food super excel,0.3833333333333333,positive,10.0,Lebanon,Double Room with Balcony,Solo traveler,7,2022
short stay staff good room clean like locat near airport time short walk distanc beach restaur good walk beach around food restaur must tri pretti delici,0.3111111111111111,positive,10.0,Lebanon,Two-Bedroom Suite,Family,7,2022
great accomod clean quiet friendli help ate meal onsit small restaur delish servic great night stay prior departur flight close airport min drive airport,0.28611111111111115,positive,10.0,United States of America,Double Room with Balcony,Couple,7,2022
food excel richard chef prepar fish best ever tast stau hotel wonder experi,1.0,positive,10.0,Israel,Double Room,Solo traveler,7,2022
nice place step salt lake mckenzi beach shallow water good peopl good swimmer lot cafe bar nearbi staff welcom well anoth plu electron system say want cleanup room dont want disturb,0.41666666666666663,positive,9.0,Czech Republic,Double Room,Couple,7,2022
person friendli everyth clean nice place,0.48333333333333334,positive,10.0,Germany,Double Room with Balcony,Solo traveler,7,2022
immacul clean bed floor soo clean staff friendli kind help,0.4444444444444445,positive,10.0,United States of America,Double Room with Balcony,Solo traveler,7,2022
good,0.7,positive,10.0,Cyprus,Double Room with Balcony,Solo traveler,7,2022
locat,0.0,positive,10.0,Cyprus,Double Room with Balcony,Group,7,2022
room spaciou enough two peopl clean,0.18333333333333335,positive,8.0,Cyprus,Double Room with Balcony,Couple,7,2022
it’ close beach airport staff nice help extrem agil respond,0.6,positive,8.0,Sweden,Double Room with Balcony,Couple,7,2022
relax comfort,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,7,2022
close local restaur beach quiet clean,0.12222222222222223,positive,8.0,United Kingdom,Double Room with Balcony,Solo traveler,6,2022
sparkl clean comfi bed friendli staff delici breakfast great freshli made croissant,0.5833333333333334,positive,8.0,Cyprus,Double Room,Couple,7,2022
everyth perfect big clean room warm welcom great staff,0.5533333333333333,positive,10.0,Cyprus,Suite with Balcony,Group,7,2022
closur airport hospit,0.0,positive,10.0,Lithuania,Double Room with Balcony,Group,7,2022
close beach clean hotel team friendli food terrif,0.3666666666666667,positive,9.0,Germany,Double Room with Balcony,Solo traveler,7,2022
chef kind friendli also food delici especi jasmin burger,0.6,positive,9.0,Romania,Standard Triple Room,Family,7,2022
staff accommod arriv clear instruct breakfast serv noon build managerown except congeni also manag kitchen,0.09999999999999999,positive,10.0,United States of America,Double Room with Balcony,Solo traveler,7,2022
friendli staff,0.0,positive,9.0,United States of America,Budget Twin Room,Solo traveler,7,2022
wonder experi exceed expect would stay,0.0,positive,10.0,United States of America,Double Room,Group,7,2022
love,0.5,positive,10.0,United Kingdom,Double Room,Family,7,2022
clean modern ideal larg famili,0.48888888888888893,positive,10.0,United Kingdom,Two-Bedroom Suite,Family,7,2022
conveni locat modern contemporari hotel excel breakfast late am self checkin work well,-0.04999999999999999,positive,8.0,Cyprus,Double Room,Couple,7,2022
clean besid airport,0.3666666666666667,positive,9.0,United Kingdom,Standard Triple Room,Family,7,2022
staff amaz locat cleanli,0.0,positive,10.0,France,Double Room with Balcony,Solo traveler,7,2022
room clean spaciou staff help excel locat beach airport transfer,0.3666666666666667,positive,10.0,United Kingdom,Suite with Balcony,Family,7,2022
good locat friendli peopl good ac,0.7,positive,9.0,Bulgaria,Double Room with Balcony,Couple,7,2022
clean spaciou friendli new modern,0.23434343434343438,positive,10.0,United Kingdom,Double Room with Balcony,Solo traveler,6,2022
,0.0,positive,9.0,Bulgaria,Budget Twin Room,Couple,6,2022
perfect want stay close airport mackenzi beach restaur far away,0.55,positive,10.0,Sweden,Double Room with Balcony,Solo traveler,7,2022
everyth exactli promis clean well organ staff friendli realli felt home rel food restaur amaz richard head hotel restaur cook passion almost everyth scratch fresh good look make simpl breakfast amaz lunch tabl look like feast,0.45555555555555555,positive,10.0,Finland,Two-Bedroom Suite,Family,7,2022
clean beauti perfectli locat minut walk beach restaur café kind servic smile,0.4222222222222222,positive,10.0,Cyprus,Double Room with Balcony,Couple,7,2022
clean new food star best club sandwich ever,0.501010101010101,positive,10.0,United Kingdom,Two-Bedroom Suite,Family,6,2022
flexibl,0.0,positive,9.0,"Abkhazia, ​Georgia",Two-Bedroom Suite,Family,6,2022
super clean close beach great restaur staff except nice next time come one night,0.42000000000000004,positive,10.0,Israel,Double Room with Balcony,Family,6,2022
room clean ac work well staff friendli definit worth price,0.33333333333333337,positive,10.0,Finland,Double Room,Couple,6,2022
staff friendli great come airport,0.8,positive,9.0,United Kingdom,Double Room with Balcony,Couple,6,2022
perfect great night sleep flight,0.9,positive,8.0,Canada,Double Room with Balcony,Solo traveler,6,2022
welcom owner great locat good valu beach less minut away,0.4444444444444444,positive,9.0,United Kingdom,Double Room,Couple,6,2022
wonder staff place make differ stay night would absolut stay,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Solo traveler,6,2022
quit area easi find park place,0.0,positive,8.0,Israel,Budget Twin Room,Solo traveler,6,2022
realli nice room love breakfast friendli peopl,0.55,positive,8.0,Bulgaria,Double Room with Balcony,Couple,6,2022
clean comfort friendli fine locat,0.3916666666666667,positive,10.0,Russia,Family Suite with Balcony,Family,6,2022
stuff friendli helpful exceed expect breakfast charg anywher els enorm size delici,0.0,positive,10.0,United Kingdom,Double Room,Couple,6,2022
friendli help staff beauti hotel cheap recommend,0.4,positive,10.0,United Kingdom,Two-Bedroom Suite,Group,5,2022
food goodth chef kind,0.6,positive,8.0,Romania,Double Room with Balcony,Family,6,2022
arriv late night hotel organis taxi made sure could check,0.1,positive,9.0,United Kingdom,Double Room,Solo traveler,5,2022
clean simpl,0.3666666666666667,positive,9.0,United Kingdom,Double Room,Couple,5,2022
room cleanth bed comfort facil new like hotel,0.13636363636363635,positive,9.0,China,Double Room with Balcony,Couple,6,2022
nice,0.6,positive,10.0,Cyprus,Double Room with Balcony,Family,6,2022
nice clean room comfort bed good locat,0.5555555555555555,positive,10.0,Greece,Double Room with Balcony,Solo traveler,5,2022
clean room comfi bed nice shower freshli renov,0.48333333333333334,positive,10.0,Germany,Double Room with Balcony,Group,6,2022
excel commun late check process airi comfort room super fast wifi tip hotel km airport travel light walk minut save rip cab fare b highway,0.15833333333333333,positive,9.0,United Kingdom,Double Room with Balcony,Solo traveler,6,2022
